household_key,decile,decile_action_tier,km_segment,km_action_tier
571,D8,Suppress expensive offers,3,Low-cost nurture
572,D8,Suppress expensive offers,2,Behavioral tier 5
573,D4,Grow basket or category,3,Low-cost nurture
574,D2,Grow basket or category,1,VIP retention
575,D1,VIP: retain and reward,1,VIP retention
576,D4,Grow basket or category,1,VIP retention
577,D3,Grow basket or category,3,Low-cost nurture
578,D4,Grow basket or category,0,Growth: upsell
579,D9,Suppress expensive offers,4,Behavioral tier 4
580,D7,Low-cost nurture,0,Growth: upsell
581,D3,Grow basket or category,0,Growth: upsell
582,D2,Grow basket or category,1,VIP retention
583,D4,Grow basket or category,0,Growth: upsell
584,D8,Suppress expensive offers,3,Low-cost nurture
585,D8,Suppress expensive offers,4,Behavioral tier 4
586,D2,Grow basket or category,1,VIP retention
587,D10,Suppress expensive offers,4,Behavioral tier 4
588,D1,VIP: retain and reward,1,VIP retention
589,D10,Suppress expensive offers,4,Behavioral tier 4
590,D4,Grow basket or category,0,Growth: upsell
591,D1,VIP: retain and reward,1,VIP retention
592,D9,Suppress expensive offers,4,Behavioral tier 4
593,D9,Suppress expensive offers,4,Behavioral tier 4
594,D5,Low-cost nurture,0,Growth: upsell
595,D5,Low-cost nurture,0,Growth: upsell
596,D4,Grow basket or category,0,Growth: upsell
597,D3,Grow basket or category,0,Growth: upsell
598,D4,Grow basket or category,0,Growth: upsell
599,D10,Suppress expensive offers,2,Behavioral tier 5
600,D2,Grow basket or category,1,VIP retention
601,D2,Grow basket or category,1,VIP retention
602,D6,Low-cost nurture,3,Low-cost nurture
603,D4,Grow basket or category,1,VIP retention
604,D5,Low-cost nurture,3,Low-cost nurture
605,D2,Grow basket or category,1,VIP retention
606,D4,Grow basket or category,0,Growth: upsell
607,D4,Grow basket or category,0,Growth: upsell
608,D2,Grow basket or category,0,Growth: upsell
609,D6,Low-cost nurture,0,Growth: upsell
610,D9,Suppress expensive offers,4,Behavioral tier 4
611,D5,Low-cost nurture,3,Low-cost nurture
612,D3,Grow basket or category,1,VIP retention
613,D10,Suppress expensive offers,4,Behavioral tier 4
614,D5,Low-cost nurture,0,Growth: upsell
615,D10,Suppress expensive offers,3,Low-cost nurture
616,D9,Suppress expensive offers,4,Behavioral tier 4
617,D7,Low-cost nurture,4,Behavioral tier 4
618,D2,Grow basket or category,1,VIP retention
619,D10,Suppress expensive offers,2,Behavioral tier 5
620,D10,Suppress expensive offers,2,Behavioral tier 5
621,D4,Grow basket or category,0,Growth: upsell
622,D5,Low-cost nurture,0,Growth: upsell
623,D3,Grow basket or category,1,VIP retention
624,D2,Grow basket or category,1,VIP retention
625,D7,Low-cost nurture,4,Behavioral tier 4
626,D9,Suppress expensive offers,4,Behavioral tier 4
627,D6,Low-cost nurture,3,Low-cost nurture
628,D8,Suppress expensive offers,4,Behavioral tier 4
629,D10,Suppress expensive offers,2,Behavioral tier 5
630,D1,VIP: retain and reward,1,VIP retention
631,D1,VIP: retain and reward,1,VIP retention
632,D4,Grow basket or category,1,VIP retention
633,D2,Grow basket or category,1,VIP retention
634,D7,Low-cost nurture,2,Behavioral tier 5
635,D10,Suppress expensive offers,2,Behavioral tier 5
636,D1,VIP: retain and reward,1,VIP retention
637,D5,Low-cost nurture,0,Growth: upsell
638,D1,VIP: retain and reward,1,VIP retention
639,D9,Suppress expensive offers,2,Behavioral tier 5
640,D5,Low-cost nurture,3,Low-cost nurture
641,D1,VIP: retain and reward,1,VIP retention
642,D5,Low-cost nurture,3,Low-cost nurture
643,D7,Low-cost nurture,4,Behavioral tier 4
644,D4,Grow basket or category,0,Growth: upsell
645,D9,Suppress expensive offers,2,Behavioral tier 5
646,D6,Low-cost nurture,3,Low-cost nurture
647,D2,Grow basket or category,1,VIP retention
648,D6,Low-cost nurture,3,Low-cost nurture
649,D7,Low-cost nurture,4,Behavioral tier 4
650,D7,Low-cost nurture,4,Behavioral tier 4
651,D10,Suppress expensive offers,2,Behavioral tier 5
652,D6,Low-cost nurture,4,Behavioral tier 4
653,D1,VIP: retain and reward,1,VIP retention
654,D5,Low-cost nurture,0,Growth: upsell
655,D6,Low-cost nurture,3,Low-cost nurture
656,D3,Grow basket or category,1,VIP retention
657,D10,Suppress expensive offers,2,Behavioral tier 5
658,D8,Suppress expensive offers,4,Behavioral tier 4
659,D8,Suppress expensive offers,4,Behavioral tier 4
660,D1,VIP: retain and reward,1,VIP retention
661,D1,VIP: retain and reward,0,Growth: upsell
662,D7,Low-cost nurture,4,Behavioral tier 4
663,D4,Grow basket or category,0,Growth: upsell
664,D8,Suppress expensive offers,4,Behavioral tier 4
665,D9,Suppress expensive offers,4,Behavioral tier 4
666,D8,Suppress expensive offers,0,Growth: upsell
667,D8,Suppress expensive offers,0,Growth: upsell
668,D8,Suppress expensive offers,4,Behavioral tier 4
669,D1,VIP: retain and reward,1,VIP retention
670,D2,Grow basket or category,1,VIP retention
671,D2,Grow basket or category,1,VIP retention
672,D5,Low-cost nurture,0,Growth: upsell
673,D9,Suppress expensive offers,4,Behavioral tier 4
674,D3,Grow basket or category,0,Growth: upsell
675,D3,Grow basket or category,1,VIP retention
676,D1,VIP: retain and reward,0,Growth: upsell
677,D7,Low-cost nurture,3,Low-cost nurture
678,D9,Suppress expensive offers,2,Behavioral tier 5
679,D2,Grow basket or category,0,Growth: upsell
680,D4,Grow basket or category,0,Growth: upsell
681,D4,Grow basket or category,0,Growth: upsell
682,D3,Grow basket or category,3,Low-cost nurture
683,D10,Suppress expensive offers,2,Behavioral tier 5
684,D6,Low-cost nurture,0,Growth: upsell
685,D2,Grow basket or category,1,VIP retention
686,D9,Suppress expensive offers,2,Behavioral tier 5
687,D4,Grow basket or category,0,Growth: upsell
688,D4,Grow basket or category,3,Low-cost nurture
689,D10,Suppress expensive offers,2,Behavioral tier 5
690,D3,Grow basket or category,1,VIP retention
691,D5,Low-cost nurture,3,Low-cost nurture
692,D3,Grow basket or category,1,VIP retention
693,D2,Grow basket or category,0,Growth: upsell
694,D6,Low-cost nurture,0,Growth: upsell
695,D1,VIP: retain and reward,1,VIP retention
696,D1,VIP: retain and reward,1,VIP retention
697,D4,Grow basket or category,3,Low-cost nurture
698,D7,Low-cost nurture,0,Growth: upsell
699,D1,VIP: retain and reward,1,VIP retention
700,D4,Grow basket or category,3,Low-cost nurture
701,D5,Low-cost nurture,3,Low-cost nurture
702,D1,VIP: retain and reward,1,VIP retention
703,D1,VIP: retain and reward,1,VIP retention
704,D10,Suppress expensive offers,2,Behavioral tier 5
705,D7,Low-cost nurture,0,Growth: upsell
706,D3,Grow basket or category,1,VIP retention
707,D1,VIP: retain and reward,1,VIP retention
708,D4,Grow basket or category,0,Growth: upsell
709,D2,Grow basket or category,0,Growth: upsell
710,D4,Grow basket or category,0,Growth: upsell
711,D9,Suppress expensive offers,4,Behavioral tier 4
712,D1,VIP: retain and reward,1,VIP retention
713,D9,Suppress expensive offers,4,Behavioral tier 4
714,D3,Grow basket or category,0,Growth: upsell
715,D4,Grow basket or category,0,Growth: upsell
716,D7,Low-cost nurture,0,Growth: upsell
717,D9,Suppress expensive offers,3,Low-cost nurture
718,D1,VIP: retain and reward,1,VIP retention
719,D8,Suppress expensive offers,4,Behavioral tier 4
720,D6,Low-cost nurture,0,Growth: upsell
721,D9,Suppress expensive offers,4,Behavioral tier 4
722,D2,Grow basket or category,1,VIP retention
723,D7,Low-cost nurture,4,Behavioral tier 4
724,D9,Suppress expensive offers,3,Low-cost nurture
725,D3,Grow basket or category,0,Growth: upsell
726,D5,Low-cost nurture,0,Growth: upsell
727,D3,Grow basket or category,0,Growth: upsell
728,D1,VIP: retain and reward,1,VIP retention
729,D8,Suppress expensive offers,3,Low-cost nurture
730,D8,Suppress expensive offers,0,Growth: upsell
731,D4,Grow basket or category,1,VIP retention
732,D3,Grow basket or category,0,Growth: upsell
733,D5,Low-cost nurture,0,Growth: upsell
734,D7,Low-cost nurture,3,Low-cost nurture
735,D8,Suppress expensive offers,4,Behavioral tier 4
736,D4,Grow basket or category,3,Low-cost nurture
737,D7,Low-cost nurture,3,Low-cost nurture
738,D5,Low-cost nurture,0,Growth: upsell
739,D10,Suppress expensive offers,2,Behavioral tier 5
740,D2,Grow basket or category,1,VIP retention
741,D4,Grow basket or category,1,VIP retention
742,D3,Grow basket or category,0,Growth: upsell
743,D6,Low-cost nurture,3,Low-cost nurture
744,D3,Grow basket or category,1,VIP retention
745,D2,Grow basket or category,0,Growth: upsell
746,D9,Suppress expensive offers,2,Behavioral tier 5
747,D7,Low-cost nurture,0,Growth: upsell
748,D5,Low-cost nurture,0,Growth: upsell
749,D8,Suppress expensive offers,4,Behavioral tier 4
750,D9,Suppress expensive offers,4,Behavioral tier 4
751,D9,Suppress expensive offers,4,Behavioral tier 4
752,D3,Grow basket or category,1,VIP retention
753,D5,Low-cost nurture,4,Behavioral tier 4
754,D7,Low-cost nurture,3,Low-cost nurture
755,D1,VIP: retain and reward,1,VIP retention
756,D9,Suppress expensive offers,4,Behavioral tier 4
757,D6,Low-cost nurture,3,Low-cost nurture
758,D10,Suppress expensive offers,2,Behavioral tier 5
759,D7,Low-cost nurture,3,Low-cost nurture
760,D6,Low-cost nurture,3,Low-cost nurture
761,D1,VIP: retain and reward,1,VIP retention
762,D1,VIP: retain and reward,1,VIP retention
763,D4,Grow basket or category,3,Low-cost nurture
764,D4,Grow basket or category,1,VIP retention
765,D7,Low-cost nurture,3,Low-cost nurture
766,D1,VIP: retain and reward,1,VIP retention
767,D9,Suppress expensive offers,4,Behavioral tier 4
768,D2,Grow basket or category,1,VIP retention
769,D7,Low-cost nurture,3,Low-cost nurture
770,D5,Low-cost nurture,3,Low-cost nurture
771,D1,VIP: retain and reward,0,Growth: upsell
772,D10,Suppress expensive offers,2,Behavioral tier 5
773,D8,Suppress expensive offers,4,Behavioral tier 4
774,D8,Suppress expensive offers,4,Behavioral tier 4
775,D8,Suppress expensive offers,2,Behavioral tier 5
776,D4,Grow basket or category,0,Growth: upsell
777,D5,Low-cost nurture,3,Low-cost nurture
778,D5,Low-cost nurture,3,Low-cost nurture
779,D3,Grow basket or category,0,Growth: upsell
780,D9,Suppress expensive offers,4,Behavioral tier 4
781,D6,Low-cost nurture,4,Behavioral tier 4
782,D7,Low-cost nurture,3,Low-cost nurture
783,D10,Suppress expensive offers,2,Behavioral tier 5
784,D4,Grow basket or category,1,VIP retention
785,D6,Low-cost nurture,3,Low-cost nurture
786,D2,Grow basket or category,0,Growth: upsell
787,D5,Low-cost nurture,0,Growth: upsell
788,D1,VIP: retain and reward,1,VIP retention
789,D10,Suppress expensive offers,4,Behavioral tier 4
790,D4,Grow basket or category,3,Low-cost nurture
791,D10,Suppress expensive offers,2,Behavioral tier 5
792,D10,Suppress expensive offers,4,Behavioral tier 4
793,D6,Low-cost nurture,3,Low-cost nurture
794,D6,Low-cost nurture,3,Low-cost nurture
795,D7,Low-cost nurture,4,Behavioral tier 4
796,D9,Suppress expensive offers,4,Behavioral tier 4
797,D4,Grow basket or category,0,Growth: upsell
798,D7,Low-cost nurture,3,Low-cost nurture
799,D6,Low-cost nurture,0,Growth: upsell
800,D1,VIP: retain and reward,0,Growth: upsell
801,D6,Low-cost nurture,4,Behavioral tier 4
802,D6,Low-cost nurture,3,Low-cost nurture
803,D6,Low-cost nurture,0,Growth: upsell
804,D3,Grow basket or category,0,Growth: upsell
805,D2,Grow basket or category,1,VIP retention
806,D2,Grow basket or category,1,VIP retention
807,D3,Grow basket or category,1,VIP retention
808,D5,Low-cost nurture,0,Growth: upsell
809,D9,Suppress expensive offers,4,Behavioral tier 4
810,D9,Suppress expensive offers,2,Behavioral tier 5
811,D9,Suppress expensive offers,4,Behavioral tier 4
812,D8,Suppress expensive offers,4,Behavioral tier 4
813,D6,Low-cost nurture,3,Low-cost nurture
814,D8,Suppress expensive offers,3,Low-cost nurture
815,D6,Low-cost nurture,4,Behavioral tier 4
816,D4,Grow basket or category,1,VIP retention
817,D3,Grow basket or category,0,Growth: upsell
818,D6,Low-cost nurture,3,Low-cost nurture
819,D10,Suppress expensive offers,2,Behavioral tier 5
820,D3,Grow basket or category,1,VIP retention
821,D9,Suppress expensive offers,2,Behavioral tier 5
822,D8,Suppress expensive offers,4,Behavioral tier 4
823,D5,Low-cost nurture,1,VIP retention
824,D7,Low-cost nurture,4,Behavioral tier 4
825,D1,VIP: retain and reward,1,VIP retention
826,D10,Suppress expensive offers,2,Behavioral tier 5
827,D10,Suppress expensive offers,4,Behavioral tier 4
828,D8,Suppress expensive offers,3,Low-cost nurture
829,D6,Low-cost nurture,3,Low-cost nurture
830,D6,Low-cost nurture,0,Growth: upsell
831,D1,VIP: retain and reward,1,VIP retention
832,D9,Suppress expensive offers,4,Behavioral tier 4
833,D6,Low-cost nurture,3,Low-cost nurture
834,D8,Suppress expensive offers,3,Low-cost nurture
835,D10,Suppress expensive offers,2,Behavioral tier 5
836,D7,Low-cost nurture,0,Growth: upsell
837,D8,Suppress expensive offers,4,Behavioral tier 4
838,D10,Suppress expensive offers,4,Behavioral tier 4
839,D8,Suppress expensive offers,3,Low-cost nurture
840,D1,VIP: retain and reward,1,VIP retention
841,D5,Low-cost nurture,0,Growth: upsell
842,D1,VIP: retain and reward,1,VIP retention
843,D5,Low-cost nurture,0,Growth: upsell
844,D2,Grow basket or category,1,VIP retention
845,D2,Grow basket or category,1,VIP retention
846,D8,Suppress expensive offers,4,Behavioral tier 4
847,D7,Low-cost nurture,3,Low-cost nurture
848,D5,Low-cost nurture,4,Behavioral tier 4
849,D3,Grow basket or category,3,Low-cost nurture
850,D7,Low-cost nurture,0,Growth: upsell
851,D10,Suppress expensive offers,2,Behavioral tier 5
852,D6,Low-cost nurture,0,Growth: upsell
853,D1,VIP: retain and reward,1,VIP retention
854,D9,Suppress expensive offers,4,Behavioral tier 4
855,D2,Grow basket or category,0,Growth: upsell
856,D3,Grow basket or category,1,VIP retention
857,D3,Grow basket or category,3,Low-cost nurture
858,D9,Suppress expensive offers,4,Behavioral tier 4
859,D2,Grow basket or category,1,VIP retention
860,D10,Suppress expensive offers,2,Behavioral tier 5
861,D7,Low-cost nurture,3,Low-cost nurture
862,D6,Low-cost nurture,4,Behavioral tier 4
863,D5,Low-cost nurture,1,VIP retention
864,D1,VIP: retain and reward,1,VIP retention
865,D6,Low-cost nurture,3,Low-cost nurture
866,D2,Grow basket or category,1,VIP retention
867,D2,Grow basket or category,1,VIP retention
868,D2,Grow basket or category,1,VIP retention
869,D7,Low-cost nurture,0,Growth: upsell
870,D10,Suppress expensive offers,2,Behavioral tier 5
871,D1,VIP: retain and reward,1,VIP retention
872,D10,Suppress expensive offers,2,Behavioral tier 5
873,D4,Grow basket or category,0,Growth: upsell
874,D10,Suppress expensive offers,2,Behavioral tier 5
875,D7,Low-cost nurture,4,Behavioral tier 4
876,D2,Grow basket or category,1,VIP retention
877,D4,Grow basket or category,3,Low-cost nurture
878,D2,Grow basket or category,0,Growth: upsell
879,D5,Low-cost nurture,3,Low-cost nurture
880,D10,Suppress expensive offers,2,Behavioral tier 5
881,D3,Grow basket or category,0,Growth: upsell
882,D3,Grow basket or category,0,Growth: upsell
883,D1,VIP: retain and reward,1,VIP retention
884,D9,Suppress expensive offers,4,Behavioral tier 4
885,D5,Low-cost nurture,3,Low-cost nurture
886,D3,Grow basket or category,1,VIP retention
887,D8,Suppress expensive offers,4,Behavioral tier 4
888,D1,VIP: retain and reward,1,VIP retention
889,D1,VIP: retain and reward,1,VIP retention
890,D8,Suppress expensive offers,3,Low-cost nurture
891,D2,Grow basket or category,1,VIP retention
892,D9,Suppress expensive offers,4,Behavioral tier 4
893,D3,Grow basket or category,0,Growth: upsell
894,D8,Suppress expensive offers,4,Behavioral tier 4
895,D1,VIP: retain and reward,1,VIP retention
896,D2,Grow basket or category,1,VIP retention
897,D8,Suppress expensive offers,4,Behavioral tier 4
898,D1,VIP: retain and reward,1,VIP retention
899,D10,Suppress expensive offers,2,Behavioral tier 5
900,D1,VIP: retain and reward,1,VIP retention
901,D5,Low-cost nurture,0,Growth: upsell
902,D10,Suppress expensive offers,2,Behavioral tier 5
903,D4,Grow basket or category,0,Growth: upsell
904,D8,Suppress expensive offers,3,Low-cost nurture
905,D8,Suppress expensive offers,3,Low-cost nurture
906,D2,Grow basket or category,1,VIP retention
907,D6,Low-cost nurture,0,Growth: upsell
908,D2,Grow basket or category,1,VIP retention
909,D1,VIP: retain and reward,1,VIP retention
910,D8,Suppress expensive offers,3,Low-cost nurture
911,D4,Grow basket or category,3,Low-cost nurture
912,D8,Suppress expensive offers,3,Low-cost nurture
913,D6,Low-cost nurture,3,Low-cost nurture
914,D6,Low-cost nurture,3,Low-cost nurture
915,D8,Suppress expensive offers,0,Growth: upsell
916,D4,Grow basket or category,1,VIP retention
917,D9,Suppress expensive offers,2,Behavioral tier 5
918,D4,Grow basket or category,3,Low-cost nurture
919,D7,Low-cost nurture,0,Growth: upsell
920,D2,Grow basket or category,1,VIP retention
921,D10,Suppress expensive offers,2,Behavioral tier 5
922,D4,Grow basket or category,1,VIP retention
923,D4,Grow basket or category,1,VIP retention
924,D5,Low-cost nurture,0,Growth: upsell
925,D9,Suppress expensive offers,4,Behavioral tier 4
926,D2,Grow basket or category,1,VIP retention
927,D7,Low-cost nurture,3,Low-cost nurture
928,D4,Grow basket or category,1,VIP retention
929,D2,Grow basket or category,1,VIP retention
930,D8,Suppress expensive offers,4,Behavioral tier 4
931,D3,Grow basket or category,3,Low-cost nurture
932,D2,Grow basket or category,0,Growth: upsell
933,D5,Low-cost nurture,3,Low-cost nurture
934,D1,VIP: retain and reward,1,VIP retention
935,D7,Low-cost nurture,3,Low-cost nurture
936,D2,Grow basket or category,0,Growth: upsell
937,D6,Low-cost nurture,0,Growth: upsell
938,D6,Low-cost nurture,3,Low-cost nurture
939,D2,Grow basket or category,0,Growth: upsell
940,D7,Low-cost nurture,4,Behavioral tier 4
941,D5,Low-cost nurture,1,VIP retention
942,D2,Grow basket or category,0,Growth: upsell
943,D4,Grow basket or category,3,Low-cost nurture
944,D4,Grow basket or category,1,VIP retention
945,D6,Low-cost nurture,3,Low-cost nurture
946,D5,Low-cost nurture,0,Growth: upsell
947,D5,Low-cost nurture,0,Growth: upsell
948,D10,Suppress expensive offers,2,Behavioral tier 5
949,D2,Grow basket or category,1,VIP retention
950,D6,Low-cost nurture,3,Low-cost nurture
951,D9,Suppress expensive offers,3,Low-cost nurture
952,D5,Low-cost nurture,0,Growth: upsell
953,D5,Low-cost nurture,0,Growth: upsell
954,D5,Low-cost nurture,4,Behavioral tier 4
955,D3,Grow basket or category,0,Growth: upsell
956,D1,VIP: retain and reward,1,VIP retention
957,D4,Grow basket or category,0,Growth: upsell
958,D10,Suppress expensive offers,4,Behavioral tier 4
959,D8,Suppress expensive offers,3,Low-cost nurture
960,D5,Low-cost nurture,0,Growth: upsell
961,D3,Grow basket or category,3,Low-cost nurture
962,D7,Low-cost nurture,4,Behavioral tier 4
963,D6,Low-cost nurture,3,Low-cost nurture
964,D6,Low-cost nurture,0,Growth: upsell
965,D6,Low-cost nurture,4,Behavioral tier 4
966,D10,Suppress expensive offers,2,Behavioral tier 5
967,D10,Suppress expensive offers,2,Behavioral tier 5
968,D1,VIP: retain and reward,1,VIP retention
969,D10,Suppress expensive offers,2,Behavioral tier 5
970,D9,Suppress expensive offers,3,Low-cost nurture
971,D4,Grow basket or category,0,Growth: upsell
972,D3,Grow basket or category,0,Growth: upsell
973,D1,VIP: retain and reward,1,VIP retention
974,D6,Low-cost nurture,3,Low-cost nurture
975,D3,Grow basket or category,1,VIP retention
976,D2,Grow basket or category,1,VIP retention
977,D8,Suppress expensive offers,4,Behavioral tier 4
978,D4,Grow basket or category,3,Low-cost nurture
979,D1,VIP: retain and reward,1,VIP retention
980,D7,Low-cost nurture,3,Low-cost nurture
981,D7,Low-cost nurture,4,Behavioral tier 4
982,D1,VIP: retain and reward,1,VIP retention
983,D3,Grow basket or category,0,Growth: upsell
984,D7,Low-cost nurture,4,Behavioral tier 4
985,D6,Low-cost nurture,0,Growth: upsell
986,D6,Low-cost nurture,4,Behavioral tier 4
987,D5,Low-cost nurture,0,Growth: upsell
988,D2,Grow basket or category,1,VIP retention
989,D3,Grow basket or category,1,VIP retention
990,D10,Suppress expensive offers,2,Behavioral tier 5
991,D7,Low-cost nurture,3,Low-cost nurture
992,D8,Suppress expensive offers,3,Low-cost nurture
993,D4,Grow basket or category,0,Growth: upsell
994,D9,Suppress expensive offers,4,Behavioral tier 4
995,D7,Low-cost nurture,3,Low-cost nurture
996,D5,Low-cost nurture,0,Growth: upsell
997,D3,Grow basket or category,1,VIP retention
998,D1,VIP: retain and reward,1,VIP retention
999,D6,Low-cost nurture,4,Behavioral tier 4
1000,D3,Grow basket or category,1,VIP retention
1001,D3,Grow basket or category,0,Growth: upsell
1002,D8,Suppress expensive offers,4,Behavioral tier 4
1003,D5,Low-cost nurture,3,Low-cost nurture
1004,D4,Grow basket or category,0,Growth: upsell
1005,D5,Low-cost nurture,0,Growth: upsell
1006,D10,Suppress expensive offers,2,Behavioral tier 5
1007,D7,Low-cost nurture,0,Growth: upsell
1008,D9,Suppress expensive offers,3,Low-cost nurture
1009,D10,Suppress expensive offers,2,Behavioral tier 5
1010,D5,Low-cost nurture,1,VIP retention
1011,D4,Grow basket or category,1,VIP retention
1012,D5,Low-cost nurture,3,Low-cost nurture
1013,D8,Suppress expensive offers,4,Behavioral tier 4
1014,D3,Grow basket or category,1,VIP retention
1015,D3,Grow basket or category,0,Growth: upsell
1016,D4,Grow basket or category,3,Low-cost nurture
1017,D4,Grow basket or category,0,Growth: upsell
1018,D6,Low-cost nurture,0,Growth: upsell
1019,D7,Low-cost nurture,3,Low-cost nurture
1020,D1,VIP: retain and reward,1,VIP retention
1021,D6,Low-cost nurture,0,Growth: upsell
1022,D10,Suppress expensive offers,2,Behavioral tier 5
1023,D1,VIP: retain and reward,1,VIP retention
1024,D1,VIP: retain and reward,1,VIP retention
1025,D4,Grow basket or category,4,Behavioral tier 4
1026,D9,Suppress expensive offers,2,Behavioral tier 5
1027,D8,Suppress expensive offers,4,Behavioral tier 4
1028,D10,Suppress expensive offers,2,Behavioral tier 5
1029,D1,VIP: retain and reward,1,VIP retention
1030,D7,Low-cost nurture,3,Low-cost nurture
1031,D3,Grow basket or category,3,Low-cost nurture
1032,D5,Low-cost nurture,3,Low-cost nurture
1033,D7,Low-cost nurture,4,Behavioral tier 4
1034,D8,Suppress expensive offers,3,Low-cost nurture
1035,D10,Suppress expensive offers,2,Behavioral tier 5
1036,D7,Low-cost nurture,4,Behavioral tier 4
1037,D8,Suppress expensive offers,3,Low-cost nurture
1038,D7,Low-cost nurture,0,Growth: upsell
1039,D2,Grow basket or category,0,Growth: upsell
1040,D2,Grow basket or category,0,Growth: upsell
1041,D2,Grow basket or category,0,Growth: upsell
1042,D2,Grow basket or category,1,VIP retention
1043,D8,Suppress expensive offers,4,Behavioral tier 4
1044,D9,Suppress expensive offers,4,Behavioral tier 4
1045,D3,Grow basket or category,1,VIP retention
1046,D3,Grow basket or category,1,VIP retention
1047,D8,Suppress expensive offers,4,Behavioral tier 4
1048,D6,Low-cost nurture,3,Low-cost nurture
1049,D9,Suppress expensive offers,4,Behavioral tier 4
1050,D2,Grow basket or category,1,VIP retention
1051,D5,Low-cost nurture,3,Low-cost nurture
1052,D10,Suppress expensive offers,2,Behavioral tier 5
1053,D3,Grow basket or category,1,VIP retention
1054,D8,Suppress expensive offers,4,Behavioral tier 4
1055,D7,Low-cost nurture,4,Behavioral tier 4
1056,D3,Grow basket or category,3,Low-cost nurture
1057,D1,VIP: retain and reward,0,Growth: upsell
1058,D4,Grow basket or category,0,Growth: upsell
1059,D10,Suppress expensive offers,2,Behavioral tier 5
1060,D2,Grow basket or category,3,Low-cost nurture
1061,D2,Grow basket or category,1,VIP retention
1062,D7,Low-cost nurture,0,Growth: upsell
1063,D7,Low-cost nurture,4,Behavioral tier 4
1064,D4,Grow basket or category,4,Behavioral tier 4
1065,D2,Grow basket or category,3,Low-cost nurture
1066,D4,Grow basket or category,0,Growth: upsell
1067,D4,Grow basket or category,1,VIP retention
1068,D7,Low-cost nurture,4,Behavioral tier 4
1069,D4,Grow basket or category,3,Low-cost nurture
1070,D2,Grow basket or category,1,VIP retention
1071,D6,Low-cost nurture,0,Growth: upsell
1072,D5,Low-cost nurture,0,Growth: upsell
1073,D4,Grow basket or category,0,Growth: upsell
1074,D1,VIP: retain and reward,1,VIP retention
1075,D7,Low-cost nurture,3,Low-cost nurture
1076,D5,Low-cost nurture,0,Growth: upsell
1077,D7,Low-cost nurture,3,Low-cost nurture
1078,D2,Grow basket or category,1,VIP retention
1079,D8,Suppress expensive offers,3,Low-cost nurture
1080,D5,Low-cost nurture,4,Behavioral tier 4
1081,D1,VIP: retain and reward,1,VIP retention
1082,D6,Low-cost nurture,0,Growth: upsell
1083,D7,Low-cost nurture,3,Low-cost nurture
1084,D5,Low-cost nurture,0,Growth: upsell
1085,D3,Grow basket or category,1,VIP retention
1086,D7,Low-cost nurture,3,Low-cost nurture
1087,D4,Grow basket or category,0,Growth: upsell
1088,D7,Low-cost nurture,4,Behavioral tier 4
1089,D5,Low-cost nurture,3,Low-cost nurture
1090,D10,Suppress expensive offers,2,Behavioral tier 5
1091,D2,Grow basket or category,1,VIP retention
1092,D8,Suppress expensive offers,4,Behavioral tier 4
1093,D8,Suppress expensive offers,4,Behavioral tier 4
1094,D2,Grow basket or category,1,VIP retention
1095,D9,Suppress expensive offers,2,Behavioral tier 5
1096,D9,Suppress expensive offers,2,Behavioral tier 5
1097,D1,VIP: retain and reward,1,VIP retention
1098,D1,VIP: retain and reward,1,VIP retention
1099,D9,Suppress expensive offers,4,Behavioral tier 4
1100,D10,Suppress expensive offers,2,Behavioral tier 5
1101,D10,Suppress expensive offers,2,Behavioral tier 5
1102,D5,Low-cost nurture,0,Growth: upsell
1103,D2,Grow basket or category,1,VIP retention
1104,D4,Grow basket or category,0,Growth: upsell
1105,D9,Suppress expensive offers,3,Low-cost nurture
1106,D9,Suppress expensive offers,4,Behavioral tier 4
1107,D8,Suppress expensive offers,4,Behavioral tier 4
1108,D10,Suppress expensive offers,2,Behavioral tier 5
1109,D4,Grow basket or category,0,Growth: upsell
1110,D2,Grow basket or category,0,Growth: upsell
1111,D1,VIP: retain and reward,1,VIP retention
1112,D6,Low-cost nurture,3,Low-cost nurture
1113,D3,Grow basket or category,0,Growth: upsell
1114,D8,Suppress expensive offers,4,Behavioral tier 4
1115,D6,Low-cost nurture,3,Low-cost nurture
1116,D4,Grow basket or category,4,Behavioral tier 4
1117,D4,Grow basket or category,0,Growth: upsell
1118,D8,Suppress expensive offers,2,Behavioral tier 5
1119,D5,Low-cost nurture,0,Growth: upsell
1120,D6,Low-cost nurture,0,Growth: upsell
1121,D5,Low-cost nurture,4,Behavioral tier 4
1122,D7,Low-cost nurture,4,Behavioral tier 4
1123,D3,Grow basket or category,3,Low-cost nurture
1124,D6,Low-cost nurture,0,Growth: upsell
1125,D9,Suppress expensive offers,0,Growth: upsell
1126,D5,Low-cost nurture,4,Behavioral tier 4
1127,D7,Low-cost nurture,4,Behavioral tier 4
1128,D4,Grow basket or category,1,VIP retention
1129,D5,Low-cost nurture,3,Low-cost nurture
1130,D2,Grow basket or category,0,Growth: upsell
1131,D4,Grow basket or category,0,Growth: upsell
1132,D6,Low-cost nurture,4,Behavioral tier 4
1133,D7,Low-cost nurture,0,Growth: upsell
1134,D3,Grow basket or category,3,Low-cost nurture
1135,D9,Suppress expensive offers,4,Behavioral tier 4
1136,D6,Low-cost nurture,4,Behavioral tier 4
1137,D6,Low-cost nurture,0,Growth: upsell
